timestamp,x,z,vtheta,grad,g,u
1024,4.997,4.997,0.0,0.0,-0.267,-0.267
2025,4.994,4.994,0.0,0.0,-0.266,-0.266
3026,4.989,4.991,0.0,0.0,-0.266,-0.266
4026,4.984,4.988,0.0,-1.0,-0.266,-0.266
5027,4.981,4.985,0.0,-1.0,-0.265,-0.265
6027,4.979,4.982,0.0,-1.0,-0.265,-0.265
7028,4.975,4.979,0.0,-1.0,-0.265,-0.265
8028,4.97,4.976,0.0,-1.0,-0.252,-0.252
9029,4.969,4.973,0.0,-1.0,-0.264,-0.264
10030,4.966,4.97,0.0,-1.0,-0.264,-0.264
11030,4.961,4.967,0.0,-1.0,-0.25,-0.25
12031,4.96,4.964,0.0,-1.0,-0.263,-0.263
13031,4.958,4.961,0.0,-1.0,-0.274,-0.274
14032,4.955,4.958,0.0,-1.0,-0.285,-0.285
15032,4.953,4.955,0.0,-1.0,-0.262,-0.262
16033,4.948,4.952,0.0,-1.0,-0.248,-0.248
17033,4.946,4.949,0.0,-1.0,-0.248,-0.248
18034,4.942,4.946,0.0,-1.0,-0.26,-0.26
19035,4.937,4.943,0.0,-1.0,-0.271,-0.271
20035,4.934,4.94,0.0,-1.0,-0.283,-0.283
21036,4.929,4.937,0.0,-1.0,-0.246,-0.246
22036,4.928,4.934,0.0,-1.0,-0.259,-0.259
23037,4.927,4.931,0.0,-1.0,-0.245,-0.245
24037,4.922,4.928,0.0,-1.0,-0.245,-0.245
25038,4.919,4.925,0.0,-1.0,-0.231,-0.231
26038,4.918,4.922,0.0,-1.0,-0.257,-0.257
27039,4.917,4.919,0.0,-1.0,-0.256,-0.256
28040,4.913,4.916,0.0,-1.0,-0.254,-0.254
29040,4.908,4.913,0.0,-1.0,-0.255,-0.255
30041,4.903,4.91,0.0,-1.0,-0.266,-0.266
31041,4.901,4.907,0.0,-1.0,-0.255,-0.255
32042,4.896,4.904,0.0,-1.0,-0.266,-0.266
33043,4.891,4.901,0.0,-1.0,-0.277,-0.277
34043,4.886,4.898,0.0,-1.0,-0.288,-0.288
35044,4.881,4.895,0.005,-1.0,-0.253,-0.253
36045,4.876,4.892,0.01,-1.0,-0.252,-0.247
37045,4.872,4.889,0.015,-1.0,-0.252,-0.242
38046,4.871,4.886,0.02,-1.0,-0.263,-0.248
39046,4.866,4.883,0.025,-1.0,-0.273,-0.253
40047,4.864,4.88,0.03,-1.0,-0.25,-0.225
41047,4.863,4.877,0.035,-1.0,-0.25,-0.22
42048,4.861,4.874,0.04,-1.0,-0.249,-0.214
43049,4.859,4.871,0.045,-1.0,-0.247,-0.207
44049,4.858,4.868,0.05,-1.0,-0.271,-0.226
45050,4.856,4.865,0.05,-1.0,-0.247,-0.197
46050,4.853,4.862,0.05,-1.0,-0.258,-0.208
47051,4.848,4.859,0.05,-1.0,-0.233,-0.183
48052,4.847,4.856,0.055,-1.0,-0.246,-0.196
49052,4.846,4.853,0.055,-1.0,-0.245,-0.19
50053,4.846,4.85,0.055,-1.0,-0.244,-0.189
