timestamp,x,z,vtheta,grad,g,u
1619,4.998,5.997,0.005,-1.0,-0.256,-0.256
2619,4.995,5.994,0.01,-1.0,-0.255,-0.25
3620,4.993,5.991,0.015,-1.0,-0.255,-0.245
4621,4.99,5.988,0.02,-1.0,-0.255,-0.24
5621,4.987,5.985,0.025,-1.0,-0.254,-0.234
6622,4.983,5.982,0.03,-1.0,-0.241,-0.216
7622,4.979,5.979,0.035,-1.0,-0.228,-0.198
8623,4.977,5.976,0.04,-1.0,-0.253,-0.218
9623,4.974,5.973,0.045,-1.0,-0.24,-0.2
10624,4.973,5.97,0.05,-1.0,-0.24,-0.195
11624,4.968,5.967,0.055,-1.0,-0.239,-0.189
12625,4.965,5.964,0.06,-1.0,-0.226,-0.171
13626,4.964,5.961,0.065,-1.0,-0.251,-0.191
14626,4.961,5.958,0.07,-1.0,-0.238,-0.173
15627,4.961,5.955,0.075,-1.0,-0.25,-0.18
16627,4.957,5.952,0.08,-1.0,-0.237,-0.162
17628,4.957,5.949,0.085,-1.0,-0.249,-0.169
18629,4.953,5.946,0.09,-1.0,-0.236,-0.151
19629,4.953,5.943,0.095,-1.0,-0.248,-0.158
20630,4.951,5.94,0.1,-1.0,-0.248,-0.153
21630,4.951,5.937,0.105,-1.0,-0.248,-0.148
22631,4.948,5.934,0.11,-1.0,-0.247,-0.142
23632,4.947,5.931,0.115,-1.0,-0.234,-0.124
24632,4.945,5.928,0.12,-1.0,-0.246,-0.131
25633,4.943,5.925,0.125,-1.0,-0.246,-0.126
26633,4.939,5.922,0.13,-1.0,-0.245,-0.12
27634,4.939,5.919,0.135,-1.0,-0.245,-0.115
28634,4.936,5.916,0.14,-1.0,-0.231,-0.096
29635,4.936,5.913,0.145,-1.0,-0.244,-0.104
30636,4.934,5.91,0.15,-1.0,-0.23,-0.085
31636,4.932,5.907,0.155,-1.0,-0.243,-0.093
32637,4.931,5.904,0.16,-1.0,-0.242,-0.087
33638,4.932,5.901,0.165,-1.0,-0.241,-0.081
