cluster,node,state,vstate
BLE,1,2169717,8122471
BLE,2,1950642,6286757
BLE,3,5906643,6995407
BLE,4,448687,2483212
BLE,5,5717903,4946017
BLE,6,4501104,1170652
BLE,7,3514544,5678396
BLE,8,8546171,8517160
BLE,9,6965869,3025704
BLE,10,2252076,4585707
WiFi,1,11322747,19825463
WiFi,2,19988046,17959643
WiFi,3,13417083,15879508
WiFi,4,11593472,12454407
WiFi,5,15755547,12133201
WiFi,6,19770060,10939972
WiFi,7,19437631,19913723
WiFi,8,15702871,12179730
WiFi,9,10961129,17683298
WiFi,10,16772442,11853962
Bridge,1,23195448,28863916
Bridge,2,26041935,23577796
Bridge,3,22511204,27486645
Bridge,4,26173074,21114474
Bridge,5,27185886,21114924
Bridge,6,22167642,26112818
Bridge,7,26541901,27256203
Bridge,8,27149643,27117489
Bridge,9,29799562,26072371
Bridge,10,24863710,21504345
