timestamp,state,vstate,vartheta
0,19742846,10939972,133500
290,20747926,11992939,245500
604,21199518,12497652,341500
871,21459114,12817625,424000
1157,21717176,13171742,529499
1457,21893688,13481573,640499
1767,22009556,13770223,762999
2086,22068827,14016662,884999
2348,22062849,14198088,984999
2618,22015506,14370319,1091999
2906,21906892,14520298,1208499
3176,21729158,14620239,1319499
3458,21501751,14681695,1425999
3744,21216712,14716914,1536999
4025,20870760,14731697,1650499
4331,20453053,14739716,1776499
4650,19974654,14753688,1911499
4973,19481911,14766524,2042999
5344,18828328,14781212,2198999
5661,18234849,14797080,2331999
6016,17508505,14811771,2485499
6341,16872501,14829067,2614500
6647,16169058,14845494,2749000
6948,15483206,14859378,2874000
7224,14872607,14871319,2980000
7727,14883775,14882074,2980000
8023,14892027,14890901,2980000
8310,14900512,14902631,2980000
8617,14909924,14910411,2980000
8897,14918840,14917419,2980000
9172,14923724,14922391,2980000
9452,14929949,14927535,2980000
9777,14930300,14931875,2980000
10092,14932902,14935856,2980000
10388,14937270,14938974,2980000
10658,14940484,14941430,2980000
10928,14944669,14943866,2980000
11198,14945980,14945869,2980000
11478,14945370,14947414,2980000
11750,14948045,14948820,2980000
12028,14949920,14949995,2980000
12298,14952463,14950971,2980000
12589,14949702,14951689,2980000
12876,14951447,14952407,2980000
13179,14950976,14952993,2980000
13473,14951075,14953407,2980000
13814,14952752,14953776,2980000
14439,14951554,14954068,2980000
14701,14956466,14954292,2980000
14990,14956693,14954474,2980000
15277,14953419,14954608,2980000
15556,14954930,14954697,2980000
15837,14954961,14954769,2980000
16099,14954286,14954822,2980000
16378,14956739,14954860,2980000
16677,14953658,14954905,2980000
16981,14957219,14954947,2980000
17261,14952562,14954975,2980000
17542,14954919,14954994,2980000
17808,14954322,14955011,2980000
18099,14957166,14955025,2980000
18390,14954564,14955033,2980000
18665,14956779,14955037,2980000
18940,14956646,14955041,2980000
19217,14953510,14955046,2980000
19491,14952321,14955048,2980000
19797,14952731,14955052,2980000
20091,14956031,14955053,2980000
20393,14955553,14955055,2980000
