timestamp,state,vstate,vartheta
0,23206991,28863916,95000
217,22808789,28444876,188000
444,22443691,28026648,288500
652,22168404,27693367,376000
874,21932896,27360919,471500
1102,21721969,27044029,571999
1342,21555324,26746123,677999
1561,21461685,26509368,771999
1786,21377329,26272828,871999
2017,21332526,26047170,971499
2230,21319519,25848218,1061499
2461,21334075,25630917,1161499
2713,21365120,25396542,1270999
2931,21403286,25188139,1367499
3168,21473741,24966870,1469999
3392,21554699,24757613,1566499
3613,21647936,24549384,1660999
3831,21744253,24341196,1753999
4051,21875085,24122370,1850499
4272,22017325,23902722,1946499
4508,22186245,23659328,2051499
4733,22370581,23426669,2150999
4981,22589350,23167388,2260499
5201,22793043,22947457,2351999
5422,22711568,22711012,2382499
5644,22479732,22479601,2382499
5863,22246424,22246070,2382499
6086,21998972,21998080,2382499
6315,21746737,21748921,2382499
6548,21494924,21493060,2382499
6783,21226821,21225598,2382499
7011,20970765,20970289,2382499
7231,20720747,20722805,2382499
7452,20472743,20471211,2382499
7673,20220121,20218909,2382499
7894,19958494,19959174,2382499
8112,19709345,19706989,2382499
8345,19441253,19441683,2382499
8580,19166111,19168231,2382499
8817,18885935,18887891,2382499
9041,18623392,18625718,2382499
9272,18355945,18356109,2382499
9490,18110285,18109920,2382499
9712,17856938,17855960,2382499
9936,17604347,17605465,2382499
10171,17360085,17362100,2382499
10400,17124131,17125987,2382499
10654,16874026,16876338,2382499
10889,16652637,16653053,2382499
11114,16446998,16449183,2382499
11335,16266886,16267077,2382499
11557,16116819,16114357,2382499
11783,15984575,15983957,2382499
12012,15888673,15890545,2382499
12240,15833742,15834076,2382499
12471,15864782,15863366,2382499
12696,15919440,15917407,2382499
12932,15986856,15988777,2382499
13152,16061067,16062809,2382499
13374,16143809,16142800,2382499
13591,16228238,16227511,2382499
13811,16319187,16318728,2382499
14041,16413838,16415208,2382499
14265,16515372,16516805,2382499
14484,16617026,16615072,2382499
14741,16735713,16733524,2382499
14973,16844731,16843372,2382499
15192,16944528,16945752,2382499
15411,17057009,17057069,2382499
15635,17163189,17165441,2382499
15864,17279887,17280595,2382499
16091,17399928,17400616,2382499
16312,17515145,17515614,2382499
16566,17647775,17648200,2382499
16795,17773779,17772111,2382499
17015,17899161,17897052,2382499
17241,18023949,18023820,2382499
17465,18154224,18155885,2382499
17685,18284363,18285218,2382499
17908,18418112,18418417,2382499
18132,18550960,18548971,2382499
18361,18687328,18685492,2382499
18582,18817575,18817286,2382499
18814,18963367,18962139,2382499
19031,19096995,19096900,2382499
19252,19231810,19230094,2382499
19475,19361004,19361665,2382499
19702,19495060,19495601,2382499
19942,19624087,19622119,2382499
20167,19721029,19723388,2382499
20393,19803287,19805869,2382499
20615,19854734,19855498,2382499
20843,19855294,19855845,2382499
21086,19815986,19818457,2382499
21315,19773898,19772813,2382499
21542,19722371,19723101,2382499
21761,19668354,19668565,2382499
21986,19608919,19609584,2382499
22212,19543034,19544491,2382499
22447,19475687,19474672,2382499
22675,19404205,19404238,2382499
22899,19332122,19330273,2382499
23142,19248361,19250461,2382499
23378,19169839,19170935,2382499
23616,19088456,19088308,2382499
23843,19004544,19004557,2382499
24065,18919926,18919569,2382499
24292,18829785,18829098,2382499
24512,18743802,18741364,2382499
24732,18651865,18652227,2382499
24952,18563714,18561973,2382499
25176,18467846,18468704,2382499
25401,18373055,18372905,2382499
25631,18279589,18279995,2382499
25853,18187278,18187122,2382499
26080,18085293,18086056,2382499
26302,17983860,17983618,2382499
26524,17883803,17885360,2382499
26754,17779507,17777841,2382499
26993,17668195,17669153,2382499
27229,17559239,17561446,2382499
27471,17447152,17446147,2382499
27691,17342231,17341235,2382499
27926,17222945,17221386,2382499
28149,17109712,17108803,2382499
28388,16986768,16986950,2382499
28614,16875562,16873997,2382499
28836,16750251,16750473,2382499
29069,16622129,16624197,2382499
29298,16493332,16495767,2382499
29531,16364490,16364099,2382499
29769,16230657,16229265,2382499
30003,16100460,16098576,2382499
30228,15967907,15967823,2382499
30450,15839353,15838504,2382499
30691,15701673,15701624,2382499
30914,15576301,15576257,2382499
31146,15446613,15446045,2382499
31373,15310438,15310278,2382499
31593,15175469,15175305,2382499
31834,15021779,15022782,2382499
32053,14880347,14880677,2382499
32308,14721723,14720899,2382499
32547,14573634,14571840,2382499
32771,14432636,14429762,2382499
33001,14284503,14283515,2382499
33225,14140584,14141846,2382499
33442,14002953,14005213,2382499
33663,13867262,13865512,2382499
33882,13723627,13721934,2382499
34103,13576870,13577054,2382499
34323,13432533,13434777,2382499
34566,13284545,13282287,2382499
34792,13146119,13146313,2382499
35022,13017915,13017778,2382499
35241,12914749,12912846,2382499
35492,12816894,12818193,2382499
35713,12772860,12769997,2382499
35931,12776759,12774757,2382499
36166,12808691,12809905,2382499
36397,12853679,12854238,2382499
36631,12903696,12905846,2382499
36851,12963164,12960714,2382499
37072,13021984,13019635,2382499
37304,13084042,13086550,2382499
37536,13153962,13153502,2382499
37766,13227909,13225143,2382499
37994,13298985,13299901,2382499
38214,13371681,13370364,2382499
38431,13446525,13443906,2382499
38652,13519412,13519907,2382499
38876,13596820,13599058,2382499
39100,13676983,13678841,2382499
39328,13764492,13762773,2382499
39550,13847364,13845552,2382499
39784,13935382,13933909,2382499
40029,14032995,14030777,2382499
40261,14123678,14123649,2382499
40489,14220918,14221146,2382499
40716,14316517,14316878,2382499
40931,14408076,14407537,2382499
41169,14512535,14510452,2382499
41394,14608484,14609276,2382499
41621,14711691,14709728,2382499
41846,14812957,14813768,2382499
42074,14919406,14918250,2382499
42296,15021149,15020266,2382499
42519,15123667,15121887,2382499
42741,15227633,15229293,2382499
42964,15338627,15337890,2382499
43182,15444971,15442655,2382499
43402,15550453,15551959,2382499
43624,15661633,15661829,2382499
43850,15777728,15775790,2382499
44071,15888314,15890400,2382499
44322,16019601,16019083,2382499
44550,16132888,16133987,2382499
44775,16247451,16244616,2382499
44992,16355705,16357821,2382499
45234,16479303,16479039,2382499
45450,16585887,16585521,2382499
45693,16692575,16694636,2382499
45912,16797233,16795569,2382499
46152,16898875,16900053,2382499
46376,16975940,16975379,2382499
46595,17024090,17023563,2382499
46820,17031295,17033031,2382499
47049,17004214,17003489,2382499
47271,16970900,16969188,2382499
47504,16927723,16928728,2382499
47732,16886279,16887310,2382499
47961,16844758,16842656,2382499
48181,16796122,16796998,2382499
48413,16756473,16753435,2382499
48649,16706116,16705351,2382499
48881,16653938,16652327,2382499
49124,16600019,16600882,2382499
49367,16539239,16541789,2382499
49581,16486010,16486976,2382499
49818,16429342,16428438,2382499
50042,16370896,16371966,2382499
50319,16301407,16304072,2382499
50581,16244687,16242676,2382499
50812,16186654,16185395,2382499
51031,16121502,16123505,2382499
51253,16060716,16061025,2382499
51496,15991456,15993635,2382499
51740,15926885,15927260,2382499
51962,15863852,15865318,2382499
52184,15801575,15799792,2382499
52405,15734556,15735457,2382499
52628,15674713,15672686,2382499
52873,15599301,15599143,2382499
53092,15530447,15531401,2382499
53347,15453493,15453190,2382499
53573,15382064,15382533,2382499
53795,15309382,15311498,2382499
54041,15232950,15232092,2382499
54291,15152856,15151202,2382499
54515,15076622,15076186,2382499
54753,14999669,14997556,2382499
54983,14922887,14920835,2382499
55202,14847504,14846141,2382499
55426,14767259,14766165,2382499
55638,14694943,14693689,2382499
55862,14623262,14621274,2382499
56083,14543027,14544582,2382499
56315,14465468,14465104,2382499
56534,14391180,14389635,2382499
56764,14321689,14320408,2382499
56981,14278357,14278844,2382499
57201,14259540,14259941,2382499
57424,14280194,14281961,2382499
57651,14310955,14310088,2382499
57873,14340472,14341325,2382499
58102,14374795,14377342,2382499
58321,14412404,14413768,2382499
58553,14451540,14452350,2382499
58777,14490843,14490929,2382499
59011,14532078,14530831,2382499
59233,14569681,14571662,2382499
59474,14617418,14616526,2382499
59691,14656602,14658384,2382499
59916,14699904,14701502,2382499
60134,14745217,14743235,2382499
60388,14791853,14791101,2382499
60621,14833288,14833464,2382499
60851,14881491,14879195,2382499
61072,14923256,14923786,2382499
61298,14967305,14970249,2382499
61522,15017367,15017846,2382499
61742,15067597,15068985,2382499
61962,15122300,15120165,2382499
62182,15171544,15173250,2382499
62403,15228616,15227892,2382499
62626,15284015,15283325,2382499
62841,15338400,15336670,2382499
63071,15390203,15391910,2382499
63291,15448164,15447678,2382499
63511,15501956,15504072,2382499
63749,15564565,15565746,2382499
64013,15635534,15634174,2382499
64258,15699433,15698138,2382499
64483,15758426,15759075,2382499
64704,15816530,15818128,2382499
64930,15871572,15871482,2382499
65152,15903381,15904883,2382499
65382,15904632,15903040,2382499
65609,15887631,15885149,2382499
65849,15864212,15864342,2382499
66081,15839589,15841903,2382499
66302,15815781,15817529,2382499
66525,15792277,15793344,2382499
66752,15767879,15768061,2382499
66986,15739638,15741073,2382499
67213,15715230,15714487,2382499
67435,15686516,15687949,2382499
67665,15661462,15659394,2382499
67894,15629430,15629593,2382499
68115,15599214,15599151,2382499
68332,15568361,15567556,2382499
68553,15538156,15535155,2382499
68780,15502276,15501493,2382499
69007,15465903,15466802,2382499
69236,15430559,15430402,2382499
69459,15394049,15394119,2382499
69688,15357134,15357596,2382499
69912,15321069,15318856,2382499
70146,15276432,15277414,2382499
70361,15237444,15238385,2382499
70597,15195819,15197332,2382499
70831,15156143,15154449,2382499
71051,15114453,15112369,2382499
71280,15068939,15067984,2382499
71520,15022739,15022453,2382499
71745,14976219,14978648,2382499
71972,14936474,14935906,2382499
72205,14891505,14893397,2382499
72433,14863812,14864854,2382499
72667,14873807,14873759,2382499
72883,14891766,14890752,2382499
73105,14911967,14909987,2382499
73357,14930060,14931545,2382499
73594,14955308,14955163,2382499
73818,14978130,14981063,2382499
74043,15006502,15006741,2382499
74262,15030617,15031947,2382499
74483,15056646,15057075,2382499
74731,15085303,15084473,2382499
74976,15110054,15112035,2382499
75204,15141903,15140265,2382499
75423,15169899,15171597,2382499
75644,15200997,15200959,2382499
75863,15231396,15231607,2382499
76083,15260441,15263061,2382499
76302,15294076,15293820,2382499
76527,15327381,15326495,2382499
76742,15358305,15358215,2382499
76962,15391730,15390414,2382499
77181,15421274,15422760,2382499
77419,15456408,15456252,2382499
77644,15487866,15486259,2382499
77863,15515398,15514936,2382499
78090,15520371,15520121,2382499
78313,15508189,15506887,2382499
78532,15491031,15492162,2382499
78751,15475268,15476191,2382499
78972,15458861,15459424,2382499
79193,15441824,15442344,2382499
79411,15425898,15424083,2382499
79636,15408467,15406170,2382499
79862,15389514,15388861,2382499
80083,15372580,15372019,2382499
80302,15355816,15356840,2382499
80522,15340615,15342186,2382499
80743,15327797,15326855,2382499
80963,15309040,15310671,2382499
81182,15291113,15293177,2382499
81414,15273978,15273561,2382499
81633,15257017,15254669,2382499
81871,15234094,15233515,2382499
82094,15209671,15211798,2382499
82321,15190640,15188623,2382499
82542,15166584,15165877,2382499
82774,15142154,15140679,2382499
83008,15120674,15120979,2382499
83234,15104809,15105064,2382499
83467,15079750,15079238,2382499
83696,15049686,15052585,2382499
83913,15044368,15046267,2382499
84133,15059298,15057312,2382499
84351,15070956,15070360,2382499
84592,15082162,15083159,2382499
84812,15095041,15094065,2382499
85036,15093580,15096202,2382499
85257,15093369,15096199,2382499
85481,15099042,15096196,2382499
85715,15095504,15096441,2382499
85934,15094393,15096616,2382499
86153,15095531,15098158,2382499
86382,15100042,15100155,2382499
86602,15103771,15103281,2382499
86832,15106023,15106187,2382499
87063,15113501,15113614,2382499
87283,15122872,15122543,2382499
87523,15131677,15132038,2382499
87762,15144619,15142351,2382499
87996,15159927,15157852,2382499
88240,15174721,15173397,2382499
88462,15187484,15186541,2382499
88726,15204890,15203977,2382499
88955,15226904,15224001,2382499
89179,15240678,15242493,2382499
89412,15262618,15263063,2382499
89632,15283233,15283004,2382499
89862,15302648,15302498,2382499
90082,15304442,15303050,2382499
90302,15295368,15293014,2382499
90542,15280953,15280481,2382499
90786,15263120,15264912,2382499
91016,15248051,15249861,2382499
91261,15236772,15235898,2382499
91484,15219355,15219665,2382499
91705,15205622,15203201,2382499
91923,15185875,15185706,2382499
92161,15165348,15167891,2382499
92398,15151517,15151486,2382499
92615,15137376,15135444,2382499
92838,15123242,15122821,2382499
93070,15107982,15109760,2382499
93299,15098412,15098085,2382499
93532,15102097,15101000,2382499
93776,15106949,15105596,2382499
94005,15107225,15106179,2382499
94281,15104283,15106172,2382499
94517,15106399,15106179,2382499
94750,15105641,15106176,2382499
94972,15107218,15106235,2382499
95202,15107979,15107164,2382499
95425,15107613,15108636,2382499
95651,15112195,15110107,2382499
95871,15108885,15110405,2382499
96093,15111647,15110412,2382499
96312,15110982,15110415,2382499
96537,15112371,15110430,2382499
96753,15113616,15110958,2382499
96972,15113779,15112482,2382499
97193,15114044,15114911,2382499
97411,15121018,15119139,2382499
97644,15125746,15124314,2382499
97862,15128456,15130160,2382499
98085,15138235,15139133,2382499
98324,15147336,15148923,2382499
98547,15160697,15158779,2382499
98779,15171743,15170660,2382499
99012,15184535,15185478,2382499
99244,15201221,15200712,2382499
99472,15218068,15216541,2382499
99694,15231252,15233693,2382499
99932,15249317,15250739,2382499
100163,15257801,15256709,2382499
100383,15252054,15252542,2382499
100612,15249471,15247256,2382499
100844,15238118,15240188,2382499
101103,15231147,15231879,2382499
101324,15223033,15223007,2382499
101542,15215024,15213720,2382499
101765,15209297,15207570,2382499
101982,15202711,15205390,2382499
102221,15200218,15201211,2382499
102452,15196895,15197006,2382499
102675,15193408,15192024,2382499
102893,15183347,15184053,2382499
103133,15173859,15174086,2382499
103351,15158781,15160465,2382499
103573,15146659,15145819,2382499
103791,15133650,15131253,2382499
104019,15119530,15117700,2382499
104251,15113797,15116034,2382499
104472,15118218,15117751,2382499
104702,15118937,15120298,2382499
104923,15121236,15123245,2382499
105143,15126497,15126533,2382499
105379,15128566,15130098,2382499
105604,15133692,15134707,2382499
105823,15139324,15139343,2382499
106053,15141920,15143884,2382499
106282,15148890,15149834,2382499
106505,15156995,15154950,2382499
106722,15157240,15159892,2382499
106946,15160618,15161304,2382499
107172,15162674,15162399,2382499
107393,15162474,15162397,2382499
107614,15162545,15162397,2382499
107842,15162284,15162399,2382499
108066,15162483,15162575,2382499
108292,15164258,15162605,2382499
108522,15164066,15163285,2382499
108741,15164535,15164789,2382499
108973,15165965,15166686,2382499
109202,15169004,15169668,2382499
109429,15175417,15173923,2382499
109666,15179800,15180026,2382499
109884,15185397,15187219,2382499
110103,15195972,15193283,2382499
110331,15199212,15200485,2382499
110553,15204362,15203060,2382499
110772,15200465,15200255,2382499
111005,15192228,15195002,2382499
111234,15191446,15189677,2382499
111458,15183636,15183721,2382499
111684,15178716,15178799,2382499
111914,15170257,15170772,2382499
112150,15165783,15163994,2382499
112375,15156674,15155633,2382499
112619,15148164,15149756,2382499
112846,15146248,15147195,2382499
113064,15143059,15145149,2382499
113279,15142630,15144347,2382499
113503,15145130,15146102,2382499
113737,15151196,15149297,2382499
113964,15152923,15153046,2382499
114199,15154770,15154681,2382499
114427,15153817,15154680,2382499
114659,15153255,15154679,2382499
114897,15152074,15154682,2382499
115122,15154587,15154682,2382499
115331,15156474,15155464,2382499
115552,15156769,15156239,2382499
115776,15159656,15157313,2382499
116006,15158999,15159263,2382499
116240,15164339,15162340,2382499
116463,15167127,15165471,2382499
116690,15165475,15166674,2382499
116913,15165670,15166679,2382499
117142,15164993,15166783,2382499
117362,15168239,15167607,2382499
117589,15166309,15169032,2382499
117828,15170761,15170400,2382499
118043,15171552,15172230,2382499
118273,15173386,15174245,2382499
118494,15176559,15177020,2382499
118714,15179482,15181263,2382499
118934,15182812,15185050,2382499
119154,15187114,15188146,2382499
119375,15189953,15188585,2382499
119591,15190133,15188349,2382499
119816,15185004,15187876,2382499
120039,15187549,15186723,2382499
120263,15184388,15185713,2382499
120488,15182270,15182635,2382499
120715,15179016,15179163,2382499
120935,15175692,15174387,2382499
121158,15167337,15169320,2382499
121384,15163738,15164527,2382499
121604,15157656,15156113,2382499
